Date,Open,High,Low,Close,Adj Close,Volume
2021-07-13,18.150000,18.150000,17.600000,17.850000,17.686281,14876023
2021-07-14,18.000000,18.299999,17.750000,17.950001,17.785364,21598047
2021-07-15,18.049999,18.299999,17.549999,17.650000,17.488115,13470718
2021-07-16,17.850000,18.049999,17.650000,17.700001,17.537657,10758298
2021-07-19,17.549999,18.049999,17.500000,17.650000,17.488115,13924694
2021-07-20,17.700001,17.750000,16.900000,17.299999,17.141325,13837543
2021-07-22,17.450001,18.049999,17.350000,17.750000,17.587198,13233569
2021-07-23,18.000000,18.049999,17.450001,17.600000,17.438574,11924290
2021-07-26,17.600000,17.850000,17.000000,17.100000,16.943159,15041682
2021-07-27,17.250000,17.950001,17.150000,17.950001,17.785364,26155478
2021-07-28,18.700001,18.799999,18.250000,18.799999,18.627567,90683543
2021-07-29,19.700001,19.700001,19.350000,19.700001,19.519314,41138982
2021-07-30,20.450001,20.650000,19.850000,20.650000,20.460598,57962374
2021-08-02,21.150000,21.650000,19.850000,20.150000,19.965185,118328183
2021-08-03,19.950001,21.150000,19.500000,21.150000,20.956013,32915918
2021-08-04,22.200001,22.200001,21.600000,22.150000,21.946840,59114236
2021-08-05,22.600000,22.650000,21.049999,21.049999,20.856930,32776559
2021-08-06,20.750000,21.450001,20.000000,20.350000,20.163351,26199569
2021-08-09,20.900000,21.350000,20.600000,21.000000,20.807388,27122375
2021-08-10,21.000000,21.100000,19.950001,19.950001,19.767019,20093507
2021-08-11,19.799999,20.350000,19.000000,19.549999,19.370687,30099267
2021-08-12,19.500000,20.500000,19.100000,20.450001,20.262434,25303457
2021-08-13,21.450001,21.450001,21.450001,21.450001,21.253262,5829787
2021-08-16,21.900000,22.299999,20.700001,21.049999,20.856930,47813108
2021-08-17,21.049999,21.100000,20.250000,20.549999,20.361515,16365227
2021-08-18,20.750000,21.100000,20.500000,20.650000,20.460598,15402700
2021-08-20,20.250000,20.750000,20.100000,20.200001,20.014727,18607996
2021-08-23,20.650000,20.650000,19.200001,19.500000,19.321146,22513349
2021-08-24,19.500000,20.450001,19.500000,20.450001,20.262434,16012280
2021-08-25,20.850000,21.150000,20.350000,20.450001,20.262434,15894004
2021-08-26,20.500000,20.950001,20.200001,20.350000,20.163351,9232645
2021-08-27,20.350000,20.500000,20.049999,20.150000,19.965185,7826611
2021-08-30,20.350000,20.500000,20.150000,20.200001,20.014727,7299181
2021-08-31,20.400000,21.200001,20.150000,20.650000,20.460598,18666411
2021-09-01,20.750000,21.650000,20.450001,21.549999,21.352343,18303344
2021-09-02,21.549999,22.600000,21.299999,22.600000,22.392714,34893154
2021-09-03,23.200001,23.700001,22.900000,23.700001,23.482626,73696269
2021-09-06,24.299999,24.650000,23.100000,23.900000,23.680790,49866601
2021-09-07,23.900000,24.350000,23.350000,23.600000,23.383541,17317511
2021-09-08,23.750000,24.750000,23.750000,24.750000,24.522993,39542752
2021-09-09,25.100000,25.950001,25.100000,25.500000,25.266115,84637159
2021-09-13,26.150000,26.250000,24.850000,25.250000,25.018408,34971571
2021-09-14,25.750000,25.750000,24.900000,25.049999,24.820242,18338855
2021-09-15,25.299999,25.299999,24.100000,24.600000,24.374371,21228710
2021-09-16,24.700001,25.549999,24.500000,24.600000,24.374371,17858677
2021-09-17,24.750000,24.950001,23.400000,23.750000,23.532166,21806960
2021-09-20,23.900000,24.799999,23.750000,24.100000,23.878956,15964923
2021-09-21,24.200001,24.450001,23.100000,23.900000,23.680790,17826931
2021-09-22,23.900000,24.450001,23.850000,23.950001,23.730331,11885362
2021-09-23,24.200001,24.850000,24.200001,24.350000,24.126663,13111647
2021-09-24,24.750000,24.850000,24.049999,24.200001,23.978039,10031089
2021-09-27,24.750000,24.750000,24.299999,24.549999,24.324827,10333497
2021-09-28,24.900000,25.750000,24.450001,25.750000,25.513823,57760142
2021-09-29,25.750000,27.000000,25.350000,26.750000,26.504650,56542648
2021-09-30,27.000000,28.049999,26.400000,28.000000,27.743185,61800646
2021-10-01,27.900000,29.400000,27.600000,29.400000,29.130344,57358051
2021-10-04,30.400000,30.850000,30.100000,30.850000,30.567045,43005012
2021-10-05,32.349998,32.349998,32.349998,32.349998,32.053284,3094094
2021-10-06,33.950001,33.950001,32.549999,33.950001,33.638611,34259205
2021-10-07,35.000000,35.599998,32.299999,32.400002,32.102829,157141056
2021-10-08,32.000000,34.000000,30.850000,34.000000,33.688152,35258640
2021-10-11,35.700001,35.700001,35.700001,35.700001,35.372562,2756853
2021-10-12,36.799999,37.450001,36.099998,37.450001,37.106510,49109093
2021-10-13,39.299999,39.299999,37.500000,39.299999,38.939541,41697430
2021-10-14,40.700001,41.250000,37.349998,38.450001,38.097340,119480991
2021-10-18,40.299999,40.349998,39.299999,40.349998,39.979908,20951675
2021-10-19,42.349998,42.349998,40.349998,41.849998,41.466152,60725782
2021-10-20,42.000000,43.349998,39.799999,40.200001,39.831287,62783403
2021-10-21,41.150002,41.849998,38.299999,38.650002,38.295506,37571019
2021-10-22,40.549999,40.549999,39.750000,40.549999,40.178078,39590280
2021-10-25,42.000000,42.000000,39.000000,39.650002,39.286335,36189099
2021-10-26,40.000000,41.200001,39.599998,39.900002,39.534039,20258878
2021-10-27,40.450001,40.450001,38.799999,39.250000,38.889999,16273762
2021-10-28,39.299999,39.299999,37.400002,37.650002,37.650002,25915839
2021-10-29,37.650002,39.000000,35.799999,37.950001,37.950001,31252601
2021-11-01,39.000000,39.799999,38.750000,39.799999,39.799999,28395418
2021-11-02,40.799999,41.349998,39.650002,40.099998,40.099998,18659596
2021-11-03,40.500000,40.700001,38.099998,38.599998,38.599998,23249448
2021-11-04,39.400002,39.849998,39.150002,39.700001,39.700001,8858557
